                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.68071,                0.60617,                  1.021,                0.87314,                0.80081,                0.87585,                0.57818,                 1.3733,                 1.0649,                 1.5135,             0.00074994,             0.00074994,             0.00074994
                     50,                0.69467,                0.64392,                 1.0031,                0.88039,                0.84908,                0.87242,                0.59331,                 1.3268,                0.97298,                 1.4984,             0.00073579,             0.00073579,             0.00073579
                     51,                0.65641,                0.61538,                 1.0047,                0.92923,                0.76347,                0.87709,                0.56319,                 1.3585,                 1.0061,                 1.5227,             0.00072164,             0.00072164,             0.00072164
                     52,                 0.6331,                0.57679,                0.98216,                0.85304,                 0.7702,                0.86116,                0.54213,                 1.4137,                   1.12,                 1.5466,              0.0007075,              0.0007075,              0.0007075
                     53,                 0.6745,                0.59722,                 1.0025,                 0.8686,                0.87489,                 0.9108,                0.56898,                 1.3661,                0.92106,                 1.5409,             0.00069335,             0.00069335,             0.00069335
                     54,                0.61282,                 0.5569,                0.95375,                0.90555,                0.81815,                0.90927,                0.56685,                 1.3819,                0.92916,                 1.5324,              0.0006792,              0.0006792,              0.0006792
                     55,                0.61141,                0.54548,                0.97029,                0.80759,                0.84982,                0.87495,                0.55267,                 1.3997,                 1.0294,                 1.5749,             0.00066506,             0.00066506,             0.00066506
                     56,                0.60272,                0.53399,                0.97119,                0.92322,                0.71028,                0.89947,                0.58444,                 1.3983,                 1.0818,                 1.5369,             0.00065091,             0.00065091,             0.00065091
                     57,                0.59213,                0.53436,                0.95832,                0.78341,                0.85965,                0.90222,                0.62789,                 1.3442,                 1.0603,                 1.5062,             0.00063676,             0.00063676,             0.00063676
                     58,                0.61155,                0.54691,                0.96966,                 0.8562,                0.82864,                0.90369,                0.62591,                 1.2984,                 1.0155,                 1.4511,             0.00062262,             0.00062262,             0.00062262
                     59,                0.63845,                0.55767,                0.99578,                0.91229,                0.80449,                0.88568,                0.61669,                 1.2642,                 0.9588,                 1.4164,             0.00060847,             0.00060847,             0.00060847
                     60,                0.61502,                0.55429,                0.98427,                0.84433,                0.80692,                0.86288,                0.62519,                 1.3194,                  1.031,                 1.5185,             0.00059432,             0.00059432,             0.00059432
                     61,                0.63236,                0.56377,                0.98722,                0.87781,                0.83719,                0.87534,                0.62476,                 1.3847,                 0.9304,                 1.5934,             0.00058017,             0.00058017,             0.00058017
                     62,                0.60121,                0.54148,                0.97973,                0.93119,                0.78089,                0.88261,                0.64612,                  1.225,                 0.8653,                  1.407,             0.00056603,             0.00056603,             0.00056603
                     63,                0.58139,                0.51078,                0.96349,                0.92538,                0.78221,                0.86805,                0.63026,                 1.2692,                0.99902,                 1.4774,             0.00055188,             0.00055188,             0.00055188
